resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Muncă,Muncă,Labor,Labor,unitate,0.0,0.0,0.0,0.0,0,RON,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Dezafectare și pregătire a șantierului,Lucrări de deblocare a terenului pentru formarea suprafeței de teren prin muncă 
Alte materiale,Alte materiale,Material,General,%,0.0,0.0,0.0,0.0,0,RON,0.0,3.3021,1882,1882,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Dezafectare și pregătire a șantierului,Lucrări de deblocare a terenului pentru formarea suprafeței de teren prin muncă 
Alte echipamente,Alte echipamente,Equipment,General,%,0.0,0.0,0.0,0.0,0,RON,0.0,1.6224,1393,1391,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Lucrări de terasament - săpături și umpluturi,Excavație BUNĂ prin Mână - Excavație de nămol în orice componentă - Nămol specia
Cărămida,Cărămida,Material,General,bucată,0.0,0.0,0.0,0.0,0,RON,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Zidărie (cărămizi și piatră),Fundatie de zidărie - fundație de zidărie - Dimensiune   
Macara cu platformă de 3 t,Macara cu platformă de 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,RON,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Zidărie (cărămizi și piatră),Fundatie de zidărie - fundație de zidărie - Dimensiune   
mortar,mortar,Material,Concrete & Cement,m3,0.0,0.0,0.0,0.0,0,RON,0.0,1.6732,555,554,Masonry Foundation - Masonry foundation - Dimension   ,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Zidărie (cărămizi și piatră),Fundatie de zidărie - fundație de zidărie - Dimensiune   
Mixer de mortar 150l,Mixer de mortar 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,RON,0.0,0.0265,540,539,Masonry Foundation - Masonry foundation - Dimension   ,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Zidărie (cărămizi și piatră),Fundatie de zidărie - fundație de zidărie - Dimensiune   
Macara de turn 25 t,Macara de turn 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,RON,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Zidărie (cărămizi și piatră),Fundatie de zidărie - fundație de zidărie - Dimensiune   
Que de sudură,Que de sudură,Material,General,kg,0.0,0.0,0.0,0.0,0,RON,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Dezafectare și pregătire a șantierului,Lucrări de deblocare a terenului pentru formarea suprafeței de teren prin muncă 
Mașină de sudură 23 kW,Mașină de sudură 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,RON,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Delinearea estimării costurilor de construcție a lucrărilor (TT 12/2021), Anexa ",Dezafectare și pregătire a șantierului,Lucrări de deblocare a terenului pentru formarea suprafeței de teren prin muncă 
