resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Nhân công,Nhân công,Labor,Labor,công,0.0,0.0,0.0,0.0,0,VND,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Site clearing and preparation,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo
Vật liệu khác,Vật liệu khác,Material,General,%,0.0,0.0,0.0,0.0,0,VND,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Site clearing and preparation,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo
Máy khác,Máy khác,Equipment,General,%,0.0,0.0,0.0,0.0,0,VND,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Earthwork - excavation and filling,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ
Gạch,Gạch,Material,General,viên,0.0,0.0,0.0,0.0,0,VND,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension   
Vận thăng lồng 3 t,Vận thăng lồng 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,VND,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension   
Vữa,Vữa,Material,General,m3,0.0,0.0,0.0,0.0,0,VND,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension   
Máy trộn vữa 150l,Máy trộn vữa 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,VND,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension   
Cần trục tháp 25 t,Cần trục tháp 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,VND,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension   
Que hàn,Que hàn,Material,General,kg,0.0,0.0,0.0,0.0,0,VND,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Site clearing and preparation,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo
Máy hàn 23 kW,Máy hàn 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,VND,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Site clearing and preparation,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo
Nước,Nước,Material,General,m3,0.0,0.0,0.0,0.0,0,VND,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Piling and cast-in-place bored piles,"Pile driving TRE by Manual - Pile driving tre by manual, chi"
Đá dăm,Đá dăm,Material,General,m3,0.0,0.0,0.0,0.0,0,VND,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Road base and sub-base,Construction Foundation Graded aggregate Crushed stone - Construction foundation
Dây thép,Dây thép,Material,General,kg,0.0,0.0,0.0,0.0,0,VND,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Road base and sub-base,Construction Foundation Graded aggregate Crushed stone - Construction foundation
Cát vàng,Cát vàng,Material,General,m3,0.0,0.0,0.0,0.0,0,VND,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Road base and sub-base,Construction Foundation Graded aggregate Crushed stone - Construction foundation
