resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Arbeitskraft,Arbeitskraft,Labor,Labor,Einheit,0.0,0.0,0.0,0.0,0,EUR,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
Sonstiges Material,Sonstiges Material,Material,General,%,0.0,0.0,0.0,0.0,0,EUR,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
Andere Maschinen,Andere Maschinen,Equipment,General,%,0.0,0.0,0.0,0.0,0,EUR,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Erdarbeiten - Aushub und Verfüllung,Manuelle Schlammgrabung - Schlammgrabung in allen Komponenten - Verdichteter Sch
Ziegel,Ziegel,Material,General,Stein,0.0,0.0,0.0,0.0,0,EUR,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Mauerwerk (Ziegel und Stein),Mauerwerksfundament - Mauerwerksfundament - Dimension   
Korbaufzug 3 t,Korbaufzug 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Mauerwerk (Ziegel und Stein),Mauerwerksfundament - Mauerwerksfundament - Dimension   
Mörtel,Mörtel,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Mauerwerk (Ziegel und Stein),Mauerwerksfundament - Mauerwerksfundament - Dimension   
Mörtelmischer 150l,Mörtelmischer 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0265,540,539,Masonry Foundation - Masonry foundation - Dimension   ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Mauerwerk (Ziegel und Stein),Mauerwerksfundament - Mauerwerksfundament - Dimension   
Turmdrehkran 25 t,Turmdrehkran 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Mauerwerk (Ziegel und Stein),Mauerwerksfundament - Mauerwerksfundament - Dimension   
Schweißelektrode,Schweißelektrode,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
Schweißmaschine 23 kW,Schweißmaschine 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
Wasser,Wasser,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Pfahlgründung und Ortbeton-Bohrpfähle,"Pfahlrammen TRE manuell - Pfahlrammen TRE manuell, chi"
Schotter,Schotter,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Fahrbahnunterschicht und Unterbau,Konstruktionsfundament Körnungsgemischtes Schotter - Konstruktionsfundament körn
Rundstahl,Rundstahl,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,896.8674,288,288,Concrete LÓT Foundation - Concrete lót -    ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Ortbeton,Fundament aus Beton LÓT - Beton LÓT -    
Stahldraht,Stahldraht,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Fahrbahnunterschicht und Unterbau,Konstruktionsfundament Körnungsgemischtes Schotter - Konstruktionsfundament körn
Gelber Sand,Gelber Sand,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Fahrbahnunterschicht und Unterbau,Konstruktionsfundament Körnungsgemischtes Schotter - Konstruktionsfundament körn
5-kW-Schneid- und Biegemaschine,5-kW-Schneid- und Biegemaschine,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.3444,279,279,Concrete LÓT Foundation - Concrete lót -    ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Ortbeton,Fundament aus Beton LÓT - Beton LÓT -    
Zement,Zement,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,273.6026,271,167,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Pfahlgründung und Ortbeton-Bohrpfähle,"Pfahlrammen TRE manuell - Pfahlrammen TRE manuell, chi"
Betonmörtel,Betonmörtel,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,1.3382,230,230,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Pfahlgründung und Ortbeton-Bohrpfähle,"Pfahlrammen TRE manuell - Pfahlrammen TRE manuell, chi"
Planierraupe 110 PS,Planierraupe 110 PS,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1415,228,184,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
Turmdrehkran 40 t,Turmdrehkran 40 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0657,214,214,Masonry Foundation - Masonry foundation - Dimension   ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Mauerwerk (Ziegel und Stein),Mauerwerksfundament - Mauerwerksfundament - Dimension   
Leichtbetonmörtel,Leichtbetonmörtel,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0453,200,200,Masonry Foundation - Masonry foundation - Dimension   ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Mauerwerk (Ziegel und Stein),Mauerwerksfundament - Mauerwerksfundament - Dimension   
Kran 25 t,Kran 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.6022,171,161,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
"Rüttelstampfer 1,5 kW","Rüttelstampfer 1,5 kW",Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1566,165,165,Concrete LÓT Foundation - Concrete lót -    ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Ortbeton,Fundament aus Beton LÓT - Beton LÓT -    
Verlust,Verlust,Material,General,Position,0.0,0.0,0.0,0.0,0,EUR,0.0,131.219,133,128,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Erdarbeiten - Aushub und Verfüllung,Manuelle Schlammgrabung - Schlammgrabung in allen Komponenten - Verdichteter Sch
Schlepper 150 PS,Schlepper 150 PS,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1647,130,108,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
Schubleichter 200 t,Schubleichter 200 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.4293,129,95,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
Profilstahl,Profilstahl,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,168.8337,124,124,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Pfahlgründung und Ortbeton-Bohrpfähle,"Pfahlrammen TRE manuell - Pfahlrammen TRE manuell, chi"
Kran 16 t,Kran 16 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0756,107,104,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Geländeberäumung und Vorbereitung,"Arbeiten Rodung von Wald, Bodenformung der Oberfläche manuell - Rodung von Wald "
Betonpfähle,Betonpfähle,Material,General,m,0.0,0.0,0.0,0.0,0,EUR,0.0,101.0,106,106,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Pfahlgründung und Ortbeton-Bohrpfähle,"Pfahlrammen TRE manuell - Pfahlrammen TRE manuell, chi"
Schubleichter 400 t,Schubleichter 400 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.452,103,81,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Erdarbeiten - Aushub und Verfüllung,Manuelle Schlammgrabung - Schlammgrabung in allen Komponenten - Verdichteter Sch
Kran 10 t,Kran 10 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.8519,92,80,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Pfahlgründung und Ortbeton-Bohrpfähle,"Pfahlrammen TRE manuell - Pfahlrammen TRE manuell, chi"
Sprengschnur,Sprengschnur,Material,General,m,0.0,0.0,0.0,0.0,0,EUR,0.0,306.405,91,91,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Erdarbeiten - Aushub und Verfüllung,Manuelle Schlammgrabung - Schlammgrabung in allen Komponenten - Verdichteter Sch
Stahlblech,Stahlblech,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,380.8888,87,87,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Pfahlgründung und Ortbeton-Bohrpfähle,"Pfahlrammen TRE manuell - Pfahlrammen TRE manuell, chi"
Gas,Gas,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,2.6456,81,81,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Fahrbahnunterschicht und Unterbau,Konstruktionsfundament Körnungsgemischtes Schotter - Konstruktionsfundament körn
Sonstige Materialien %,Sonstige Materialien %,Material,General,,0.0,0.0,0.0,0.0,0,EUR,0.0,2.4247,77,77,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Fahrbahnunterschicht und Unterbau,Konstruktionsfundament Körnungsgemischtes Schotter - Konstruktionsfundament körn
Kran 40 t,Kran 40 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0405,74,74,Concrete LÓT Foundation - Concrete lót -    ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Ortbeton,Fundament aus Beton LÓT - Beton LÓT -    
Sauerstoff,Sauerstoff,Material,General,chai,0.0,0.0,0.0,0.0,0,EUR,0.0,1.4172,73,73,Concrete LÓT Foundation - Concrete lót -    ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Ortbeton,Fundament aus Beton LÓT - Beton LÓT -    
Bohrspitze 42mm,Bohrspitze 42mm,Material,General,Stück,0.0,0.0,0.0,0.0,0,EUR,0.0,7.8,68,68,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Erdarbeiten - Aushub und Verfüllung,Manuelle Schlammgrabung - Schlammgrabung in allen Komponenten - Verdichteter Sch
Stahlrohrstütze,Stahlrohrstütze,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,30.0315,66,66,Concrete LÓT Foundation - Concrete lót -    ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Ortbeton,Fundament aus Beton LÓT - Beton LÓT -    
Bohrzähne,Bohrzähne,Material,General,Stück,0.0,0.0,0.0,0.0,0,EUR,0.0,0.734,60,60,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Pfahlgründung und Ortbeton-Bohrpfähle,"Pfahlrammen TRE manuell - Pfahlrammen TRE manuell, chi"
Handbohrmaschine 42mm,Handbohrmaschine 42mm,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,7.3614,60,52,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Erdarbeiten - Aushub und Verfüllung,Manuelle Schlammgrabung - Schlammgrabung in allen Komponenten - Verdichteter Sch
Zementmörtel,Zementmörtel,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1061,53,52,Concrete LÓT Foundation - Concrete lót -    ,"Kostenkatalog für Bauwerkskalkulation (TT 12/2021/TT-BXD), Anhang II",Ortbeton,Fundament aus Beton LÓT - Beton LÓT -    
